id,name,locality,country,region,tier,category,lat,lon,seaTempC,bestMonths,sand,water,swimming,surf,setting,blueFlag,tags,description,url
grotlesanden-no,Grotlesanden,Bremanger,NO,Europe,3,cold,61.858,4.983,15,Jun-Aug,"A broad white-sand beach among green fields, boathouses and rocky islets","Clear, cold turquoise Atlantic",Cold and clear on an exposed western shore,Occasional Atlantic swell,"A wide white beach on the island of Bremangerlandet, ringed by low fells and skerries",false,white sand|islets|west coast,"A broad sweep of white sand and turquoise water among the skerries of Bremanger, on Norway's exposed western coast.",https://europebeachmap.com/beaches/grotlesanden-no/
hamresanden-no,Hamresanden,Kristiansand,NO,Europe,3,resort,58.201,8.115,18,Jun-Aug,"A long, wide arc of fine golden sand","Calm, relatively warm Skagerrak, shallow and clear","Shallow, calm and warm for Norway — a family favourite",None,"One of southern Norway's finest sandy beaches, at the mouth of the Topdalsfjord east of Kristiansand",false,golden sand|family|Sørlandet|warm,"One of southern Norway's finest beaches — a long arc of golden sand and calm, warm-for-Norway water east of Kristiansand.",https://europebeachmap.com/beaches/hamresanden-no/
hoddevik-no,Hoddevik,Stadlandet,NO,Europe,3,surf,62.055,5.108,15,Year-round,Pale golden sand,"Clear, cold Atlantic blue",Cold with steady swell — Norway's surf valley,"Norway's best-known surf break, in a green amphitheatre of farms",A remote surf beach in a farm-dotted bowl on the exposed Stad peninsula,false,surf|remote|fjord farms,A remote green amphitheatre of farms wrapped around a golden surf beach — the cradle of Norwegian surfing.,https://europebeachmap.com/beaches/hoddevik-no/
hvervenbukta-no,Hvervenbukta,Oslo,NO,Europe,3,resort,59.8285,10.772,19,Jun-Aug,A small sandy beach and grassy meadows around a sheltered fjord bay,"Calm, shallow inner Oslofjord","Calm, shallow and family-friendly",None,"A popular bathing bay in southern Oslo, with lawns, an old customs house and coastal woods along the Bunnefjord",false,Oslofjord|family|meadows|sheltered,"A sheltered, family-friendly bathing bay in southern Oslo, with a small sandy beach and grassy meadows along the Bunnefjord.",https://europebeachmap.com/beaches/hvervenbukta-no/
ingierstrand-no,Ingierstrand,"Oslofjord, Nordre Follo",NO,Europe,3,resort,59.8025,10.735,19,Jun-Aug,Smooth rock bathing terraces and small sandy patches below pine woods,"Cool, calm Oslofjord","Calm fjord bathing off the rocks and jetties, beneath a landmark diving tower",None,"A protected 1930s functionalist bathing park on the Bunnefjord, its white diving tower a modernist icon",false,functionalist|diving tower|Oslofjord|heritage,A 1930s functionalist bathing park on the Oslofjord — smooth rock terraces and a landmark white diving tower under the pines.,https://europebeachmap.com/beaches/ingierstrand-no/
lomsesanden-no,Lomsesanden,"Lista, Farsund",NO,Europe,3,cold,58.1,6.63,17,Jun-Aug,A long curve of pale sand backed by dunes and grassland,"Clear, cool Skagerrak on the exposed Lista peninsula","Bright but bracing, on an open, windswept coast","Wind and swell on the Lista peninsula, a Norwegian surf and kite coast","A long dune-backed beach on the flat, windswept Lista peninsula near Farsund, on Norway's southernmost coast",false,white sand|dunes|Lista|windswept,"A long, dune-backed sand beach on the flat, windswept Lista peninsula near Farsund — bright water and big skies on Norway's southern tip.",https://europebeachmap.com/beaches/lomsesanden-no/
ramberg-beach-no,Ramberg Beach,"Flakstadøya, Lofoten",NO,Europe,3,cold,68.098,13.234,13,Jun-Aug,Pale white sand,"Startlingly clear turquoise, icy cold",Caribbean-bright but Arctic-cold,None,A white-sand beach right by the road beneath red fishermen's cabins and peaks,false,arctic|turquoise|peaks,White sand and improbably turquoise water beneath jagged Lofoten peaks — a tropical mirage at 68° north.,https://europebeachmap.com/beaches/ramberg-beach-no/
refviksanden-no,Refviksanden,Vågsøy,NO,Europe,3,cold,61.976,4.97,15,Jun-Aug,Broad white sand,"Clear, cold turquoise","Cold, clear and lively on the open coast",Atlantic swell for cold-water surfers,A long white-sand beach open to the ocean on the island of Vågsøy,false,white sand|open coast|surf,"A long, wild sweep of white sand and turquoise water on an exposed western island — often called Norway's finest beach.",https://europebeachmap.com/beaches/refviksanden-no/
sjosanden-no,Sjosanden,"Mandal, Southern Norway",NO,Europe,3,cold,58.02,7.449,17,June to August,"Eight hundred metres of fine white sand, often called Norway's best beach",Clear and relatively mild Skagerrak water,"Among Norway's most swimmable sea, calm and sheltered",None,"Pine-backed dunes on the edge of Mandal, one of Norway's southernmost towns",false,white sand|southern Norway|family|swimmable,"Norway's favourite white-sand beach, where the mild southern sea actually invites a swim.",https://europebeachmap.com/beaches/sjosanden-no/
skagsanden-beach-no,Skagsanden Beach,"Flakstad, Lofoten",NO,Europe,3,surf,68.079,13.371,13,Year-round,Wide flat pale sand,"Clear, cold Arctic blue",Cold with strong swell — a cold-water surf beach,A famed Arctic surf beach with mountain-backed peaks and reflections,"A wide mirror-flat beach ringed by peaks, popular with Arctic surfers",false,arctic surf|reflections|peaks,"A mirror-flat Lofoten beach ringed by peaks, where wetsuited surfers ride cold Arctic swell beneath the northern lights.",https://europebeachmap.com/beaches/skagsanden-beach-no/
gdynia-orlowo-pl,Gdynia Orłowo Beach,"Gdynia, Pomerania",PL,Europe,2,resort,54.4805,18.5646,19,Jun-Aug,Narrow band of soft grey-gold sand strewn with beached fishing boats,"Calm, milky-green Gulf of Gdańsk","Sheltered, gently shelving gulf water; easy family swimming",None,"A 180-metre wooden pier and the wooded, crumbling Orłowo Cliff at Gdynia's genteel southern edge, one train stop from Sopot",false,clay cliff|wooden pier|fishing boats,Tricity's most painterly shore — a wooden pier and fishing boats beneath the wooded Orłowo cliff.,https://europebeachmap.com/beaches/gdynia-orlowo-pl/
miedzyzdroje-beach-pl,Międzyzdroje Beach,Wolin Island,PL,Europe,2,resort,53.932,14.44,20,Jun-Aug,Wide golden sand beneath green cliffs,"Clean, gently shelving Baltic water",Gentle and lifeguarded along the pier,None,"A belle-époque resort with a long pier, between the sea and Wolin National Park's cliffs",false,pier|cliffs|national park,A belle-époque Baltic resort where golden sand runs beneath the green moraine cliffs of Wolin National Park.,https://europebeachmap.com/beaches/miedzyzdroje-beach-pl/
sopot-beach-pl,Sopot Beach,"Sopot, near Gdansk",PL,Europe,2,resort,54.446,18.567,19,June to August,Broad white sand along the Gulf of Gdansk,"Shallow, calm Baltic water","Shallow and gentle, popular family swimming",None,"A lively spa resort with Europe's longest wooden pier, the molo",true,wooden pier|spa resort|Baltic|Blue Flag,"Poland's chicest resort, where a grand wooden pier reaches over the Baltic beside broad white sand.",https://europebeachmap.com/beaches/sopot-beach-pl/
swinoujscie-beach-pl,Świnoujście Beach,"Uznam Island, West Pomerania",PL,Europe,2,resort,53.9216,14.2539,20,Jun-Aug,Poland's widest beach — a deep apron of fine pale sand raked flat each morning,Clear grey-green Baltic over a pale sandy bottom,Very gradual shelf and gentle sandbars; guarded bathing sections in season,None,Fronts the spa quarter by the Świna mouth and its windmill-shaped Stawa Młyny beacon; the promenade runs west into German Ahlbeck,true,widest in poland|spa promenade|border walk,"Poland's widest beach, where a deep apron of fine sand and its seafront promenade run unbroken into Germany.",https://europebeachmap.com/beaches/swinoujscie-beach-pl/
debki-beach-pl,Dębki Beach,"Kashubian Coast, Pomerania",PL,Europe,3,wild,54.8333,18.0787,19,Jun-Aug,Wide soft white-grey sand under low grassy dunes,"Bracing, clean open Baltic",Sandbars and light open-sea chop; lifeguarded stretch in high summer,None,Where the little Piaśnica river crosses the sand into the sea — the stream once marked Poland's interwar border with Germany; pine woods and a low-key holiday hamlet behind,false,river mouth|pine forest|kashubia,A Kashubian pine-and-dune hamlet where the Piaśnica slides across white sand into a bracing Baltic.,https://europebeachmap.com/beaches/debki-beach-pl/
hel-peninsula-beach-pl,Hel Peninsula Beach,"Hel, Pomerania",PL,Europe,3,cold,54.608,18.8,19,Jun-Aug,Fine white sand,"Shallow, clear Baltic blue on two sides","Shallow, calm and clean; open sea on one side, calm bay on the other",The bay side is a leading windsurf and kite spot,A slender 35-kilometre sand spit with sea on one side and calm bay on the other,false,sand spit|windsurf|two seas,A slender 35-kilometre sand spit with open Baltic surf on one side and a flat windsurfer's bay on the other.,https://europebeachmap.com/beaches/hel-peninsula-beach-pl/
kolobrzeg-beach-pl,Kołobrzeg Beach,"Kołobrzeg, West Pomerania",PL,Europe,3,resort,54.19,15.55,19,Jun-Aug,"Wide, well-kept pale sand","Clean, open Baltic blue",Gently shelving and lifeguarded by the pier,None,"Poland's salt-spa city with a lighthouse, port and grand promenade",true,spa city|lighthouse|promenade,Poland's classic spa-town beach — wide pale sand between a working lighthouse and a century of health resorts.,https://europebeachmap.com/beaches/kolobrzeg-beach-pl/
eba-beach-pl,Łeba Beach,Słowiński Coast,PL,Europe,3,cold,54.76,17.55,19,Jun-Aug,Fine white sand and giant dunes,"Shallow, clean Baltic blue",Shallow and gently warming in summer,None,A white-sand resort beside the shifting dunes of Słowiński National Park,true,shifting dunes|national park|white sand,A fine white-sand Baltic beach beside the vast wandering dunes of Słowiński National Park — Poland's 'moving desert'.,https://europebeachmap.com/beaches/eba-beach-pl/
ustka-beach-pl,Ustka Beach,"Ustka, Pomerania",PL,Europe,3,cold,54.588,16.85,19,Jun-Aug,Fine pale sand below low dunes,"Clean, open Baltic blue","Gently shelving, bracing outside high summer",Small Baltic beach-break on windy days,A fishing port turned resort near the shifting dunes of Słowiński park,false,fishing port|dunes|quiet,"A Pomeranian fishing port's pale strand, a quieter cousin to the great shifting dunes along the coast.",https://europebeachmap.com/beaches/ustka-beach-pl/
benagil-pt,Benagil Beach & Cave,Algarve,PT,Europe,1,wild,37.086,-8.427,20,May–Oct,Golden,Emerald,Calm cove,None,Domed sea cave with skylight,false,Sea cave|Kayak|SUP,A cathedral-like sea cave with a sandy floor and a natural skylight.,https://europebeachmap.com/beaches/benagil-pt/
ilheu-vila-franca-pt,Ilhéu de Vila Franca do Campo,"Vila Franca do Campo, São Miguel",PT,Europe,1,wild,37.7017,-25.4419,24,Jul–Sep,No sand — you swim in a flooded volcanic crater ringed by black rock,"Clear blue-green, sheltered from the Atlantic swell inside the crater walls","A calm, near-circular natural pool reached by ferry, with daily visitor limits in summer",None,A tiny sunken volcano off São Miguel's south coast — a protected nature reserve forming an almost perfect round lagoon,false,volcanic crater|natural pool|nature reserve|islet,"A drowned volcano off São Miguel makes an almost perfect circular pool — the Azores' most photographed swim, reached only by ferry.",https://europebeachmap.com/beaches/ilheu-vila-franca-pt/
praia-da-comporta-pt,Praia da Comporta,"Comporta, Alentejo",PT,Europe,1,wild,38.3809,-8.8035,19,Jun-Sep,Miles of fine white sand and dunes,"Cool, clean Atlantic blue",Open Atlantic with some waves and currents,Mellow beach break,Rice paddies and umbrella-pine dunes,true,endless sand|chic|dunes|alentejo,"An endless, dune-backed white strand fringing the rice fields of chic, laid-back Comporta.",https://europebeachmap.com/beaches/praia-da-comporta-pt/
praia-da-marinha-pt,Praia da Marinha,Algarve,PT,Europe,1,wild,37.09,-8.412,20,May–Oct,Golden,Clear emerald,"Clear, some swell",None,Ochre limestone cliffs,true,Cliff walk|Snorkel|Photography,The Algarve’s emblem — golden cliffs and sea stacks over clear water.,https://europebeachmap.com/beaches/praia-da-marinha-pt/
praia-de-porto-santo-pt,Praia de Porto Santo,"Porto Santo, Madeira",PT,Europe,1,resort,33.058,-16.339,23,Jun-Oct,9km of fine golden mineral-rich sand,"Warm, calm and crystal-clear blue","Calm and shallow, excellent swimming",None,A low golden island off the coast of Madeira,true,golden sand|therapeutic sand|calm|madeira,Nine kilometres of fine golden sand famed for its therapeutic minerals on Madeira's sunny sister island.,https://europebeachmap.com/beaches/praia-de-porto-santo-pt/
praia-do-guincho-pt,Praia do Guincho,"Cascais, Lisbon Coast",PT,Europe,1,surf,38.7325,-9.4725,19,May-Sep,Wide pale sand backed by dunes,Cold and clear Atlantic,"Cold, powerful surf and strong wind",Consistent Atlantic beach break and world windsurf venue,Dunes below the Sintra hills near Cabo da Roca,true,surf|windswept|dunes|atlantic,"A wild, wind-raked Atlantic beach below the Sintra mountains and a mecca for surfers and windsurfers.",https://europebeachmap.com/beaches/praia-do-guincho-pt/
nazare-pt,Praia do Norte,Nazaré,PT,Europe,1,surf,39.611,-9.086,19,Oct–Mar (big-wave),Golden,Wild Atlantic,Dangerous when big,Biggest waves on Earth,Canyon-fed swell,false,Big-wave surf|Lighthouse|Spectacle,Where an undersea canyon builds the largest surfed waves ever ridden.,https://europebeachmap.com/beaches/nazare-pt/
praia-do-supertubos-pt,Praia do Supertubos,Peniche,PT,Europe,1,surf,39.3452,-9.3638,19,Sep-Mar (surf),Dark-blond sand packed hard by a heaving shore-dump,"Cold, glassy green with spray hanging over the lineup on offshore days",Not for swimming — hollow shorebreak and strong currents,'Europe's Pipeline': thick sand-bottom barrels and a fixture of the World Surf League championship tour,"An open strand just south of Peniche's harbour jetty, low dunes and canning-town outskirts behind",false,world surf|barrels|wsl tour,"Europe's Pipeline — a thick, freight-train sandbar barrel that decides world-tour heats.",https://europebeachmap.com/beaches/praia-do-supertubos-pt/
ilha-de-tavira-pt,Ilha de Tavira,"Tavira, Algarve",PT,Europe,2,wild,37.1098,-7.621,22,May-Oct,Eleven kilometres of fine white-gold sand and low dunes,"Calm, clear and reliably among the warmest on Portugal's coast","Gentle shelf and small waves, lifeguards near the landing; crowds thin ten minutes' walk out",None,A car-free Ria Formosa barrier island reached by ferry or water-taxi from Tavira's quay,true,barrier island|ferry access|dunes,"A car-free barrier island of warm, calm sea ten minutes by ferry from Tavira.",https://europebeachmap.com/beaches/ilha-de-tavira-pt/
machico-beach-pt,Machico Beach,"Machico, Madeira",PT,Europe,2,resort,32.7106,-16.7663,24,May–Oct,"Golden sand brought from Morocco, filling a calm town bay","Sheltered, clear and calm within the horseshoe bay","Warm and calm, gently shelving and lifeguarded — good for families",None,"The golden town beach of Machico, Madeira's first capital, in a sheltered valley bay on the east coast",true,golden sand|town bay|family|blue flag,"Madeira's first capital gave itself a beach — golden sand shipped from Morocco to fill a calm, sheltered town bay.",https://europebeachmap.com/beaches/machico-beach-pt/
porto-pim-pt,Porto Pim Beach,"Horta, Faial, Azores",PT,Europe,2,cold,38.5262,-28.6323,24,Jul–Sep,Dark volcanic sand and fine shingle in a sheltered horseshoe bay,"Calm, clear and cool, protected inside a volcanic amphitheatre","Sheltered and calm — the safest, warmest swimming on Faial",None,"A curved dark-sand bay beside the historic whaling town of Horta, framed by the green Monte da Guia headland",false,volcanic bay|dark sand|sheltered|horta,"A sheltered dark-sand bay hugging the old whaling town of Horta, cupped by a green volcanic headland on Faial.",https://europebeachmap.com/beaches/porto-pim-pt/
praia-da-calheta-pt,Praia da Calheta,"Calheta, Madeira",PT,Europe,2,resort,32.7186,-17.1774,24,May–Oct,"Golden sand shipped in from the Sahara, held between two breakwaters","Calm, clear and turquoise inside the sheltered twin lagoons","Warm, calm and shallow — Madeira's easiest and safest swimming",None,"Two man-made golden-sand lagoons on Madeira's sunny south-west coast, beside a marina below banana terraces",true,golden sand|calm lagoon|family|blue flag,"Volcanic Madeira has almost no natural sand, so Calheta imported its own — two calm golden lagoons on the island's sunniest coast.",https://europebeachmap.com/beaches/praia-da-calheta-pt/
praia-da-falesia-pt,Praia da Falesia,"Olhos de Agua, Algarve",PT,Europe,2,resort,37.0888,-8.162,21,May-Oct,A long golden-white strip of sand,"Clear, warmer south-Algarve blue",Generally calm and gently shelving,None,Towering ochre-and-red striped cliffs,true,red cliffs|long beach|resort|algarve,A six-kilometre ribbon of sand beneath spectacular ochre and rust-red cliffs on the central Algarve.,https://europebeachmap.com/beaches/praia-da-falesia-pt/
praia-da-luz-pt,Praia da Luz,"Luz, Algarve",PT,Europe,2,resort,37.0868,-8.7255,20,May-Oct,Pale golden sand shelving gently below a palm-lined promenade,"Clear teal, usually flat by south-coast standards","Sheltered, lifeguarded and easy — the western Algarve's classic family swim",Rarely; small winter swells only,A whitewashed ex-fishing village walled in at its east end by the dark volcanic slab of Rocha Negra,true,family|promenade|snorkel,A sheltered golden bay beneath the dark volcanic headland of Rocha Negra.,https://europebeachmap.com/beaches/praia-da-luz-pt/
praia-da-rocha-pt,Praia da Rocha,"Portimão, Algarve",PT,Europe,2,resort,37.116,-8.535,20,May-Oct,Wide golden sand,"Clear, gentle Atlantic blue","Broad, gently shelving and lifeguarded",Small beach-break at the edges,The Algarve's grand resort beach beneath a promenade and ochre rock formations,true,resort|wide beach|promenade,The Algarve's original resort beach — a vast golden strand of ochre stacks below the bars and promenade of Portimão.,https://europebeachmap.com/beaches/praia-da-rocha-pt/
praia-de-miramar-pt,Praia de Miramar,"Vila Nova de Gaia, Porto",PT,Europe,2,resort,41.0658,-8.6571,18,Jun-Sep,Pale gold sand broken by smooth granite outcrops,"Chilly, clear north Atlantic with steady small breakers","Bracing; lifeguarded in season, with calmer pools among the rocks at low tide","Small, consistent beach-break peaks; a local longboard favourite","The seventeenth-century Senhor da Pedra chapel stands on a wave-washed granite boss mid-strand, twenty minutes from Porto by local train",false,chapel|landmark|train access,The beach where waves wash a baroque chapel — Senhor da Pedra on its granite rock.,https://europebeachmap.com/beaches/praia-de-miramar-pt/
praia-de-santa-barbara-pt,Praia de Santa Barbara,"Ribeira Grande, Sao Miguel",PT,Europe,2,surf,37.819,-25.542,23,"Jun-Sep, surf year-round",Dark volcanic sand,"Clear, deep blue Atlantic","Lively surf and currents, a surfers' beach",The Azores' premier beach break,Green volcanic hills on Sao Miguel's north coast,false,black sand|surf|volcanic|azores,A long black-sand beach on Sao Miguel's north coast and the Azores' leading surf destination.,https://europebeachmap.com/beaches/praia-de-santa-barbara-pt/
praia-do-amado-pt,Praia do Amado,"Carrapateira, Algarve",PT,Europe,2,surf,37.1672,-8.904,19,Year-round for surf,Broad golden sand,Cool and clear Atlantic,Cool with waves; watch for currents,Reliable beach break and surf-school favourite,The rugged cliffs of the Costa Vicentina,true,surf|costa vicentina|surf school|wild coast,"A golden, cliff-backed surf beach on the wild Costa Vicentina and one of the Algarve's top wave spots.",https://europebeachmap.com/beaches/praia-do-amado-pt/
praia-do-baleal-pt,Praia do Baleal,"Baleal, Peniche",PT,Europe,2,surf,39.3655,-9.3419,19,Jun-Sep,A soft cream arc of sand joining Baleal islet to the mainland,"Brisk, clean Atlantic teal","Pick your side — the south bay is sheltered and swimmable, the north side takes the swell","Mellow sandbar rollers make it Peniche's surf-school nursery, with punchier reef peaks off the islet","A causeway tombolo below the old whalers' hamlet on Baleal islet, surf camps stacked behind the dunes",false,surf school|tombolo|surf camps,"A two-faced tombolo — sheltered swimming on one side, learner waves on the other, Baleal islet at the tip.",https://europebeachmap.com/beaches/praia-do-baleal-pt/
praia-do-beliche-pt,Praia do Beliche,"Sagres, Algarve",PT,Europe,2,wild,37.0259,-8.9639,19,May-Oct,Soft pale sand pocketed beneath fifty-metre ochre cliffs,"Cold, clean turquoise-green",Sheltered from the summer northerlies and swimmable on calm days; respect any swell,Sagres' quality wave — hollow peaks when northwest swell wraps between the capes,"A long stair-climb down between Sagres point and Cabo de São Vicente, under the tiny Beliche fort",false,cliffs|stairs|surf,"A cliff-hidden wedge of sand on Europe's south-west corner, glowing gold at sunset.",https://europebeachmap.com/beaches/praia-do-beliche-pt/
praia-do-camilo-pt,Praia do Camilo,Lagos,PT,Europe,2,wild,37.086,-8.669,20,May–Oct,Golden,Clear emerald,"Sheltered, clear",None,"Twin coves, wooden stairway",true,Snorkel|Cliffs|Steps,Twin golden coves reached by a photogenic wooden stairway.,https://europebeachmap.com/beaches/praia-do-camilo-pt/
praia-dona-ana-pt,Praia Dona Ana,"Lagos, Algarve",PT,Europe,2,tropical,37.089,-8.669,20,Jun-Sep,Golden sand between ochre cliffs,"Clear, calm blue-green","Sheltered, calm and clear among the rock stacks",None,A sheltered cove of golden cliffs and sea stacks near Lagos,true,golden cliffs|sea stacks|sheltered,"The Algarve's postcard cove — golden ochre cliffs and honey-coloured sea stacks framing calm, clear water near Lagos.",https://europebeachmap.com/beaches/praia-dona-ana-pt/
praia-dos-galapinhos-pt,Praia dos Galapinhos,"Arrábida, Setúbal",PT,Europe,2,tropical,38.48,-8.98,19,Jun-Sep,Fine pale sand below green Arrábida slopes,Astonishingly clear green-turquoise for the Atlantic,"Sheltered, calm and clear under the ridge",None,The Arrábida natural park's forest tumbling straight into the sea,false,arrábida|clearest atlantic|forest,Portugal's clearest water — a turquoise Atlantic anomaly beneath the green ridge of Arrábida.,https://europebeachmap.com/beaches/praia-dos-galapinhos-pt/
costa-nova-pt,Costa Nova,Aveiro,PT,Europe,3,resort,40.618,-8.75,18,Jun-Sep,Wide pale sand and dunes,"Cool, clear Atlantic blue",Bracing Atlantic swell; lifeguarded in summer,Consistent beach-break,A dune beach behind a row of candy-striped fishermen's houses near Aveiro,true,striped houses|dunes|surf,A breezy dune beach fronted by Portugal's famous row of candy-striped wooden fishermen's houses near Aveiro.,https://europebeachmap.com/beaches/costa-nova-pt/
praia-da-adraga-pt,Praia da Adraga,Sintra,PT,Europe,3,wild,38.803,-9.47,19,Jun-Sep,Golden sand below dark cliffs,"Cool, clear Atlantic blue",Powerful Atlantic swell and currents; a dramatic swim,Heavy beach-break,A wild cliff-walled beach with a great offshore rock arch near Sintra,true,cliffs|sea arch|wild,A wild beach walled by dark cliffs and crowned by a great offshore rock arch on the Atlantic edge of Sintra.,https://europebeachmap.com/beaches/praia-da-adraga-pt/
praia-da-arrifana-pt,Praia da Arrifana,"Aljezur, Algarve",PT,Europe,3,surf,37.291,-8.863,19,Year-round,Golden sand below a cliff,"Cool, clear Atlantic blue",Lively swell; a renowned surf bay,"A sheltered, consistent point and beach-break on the west coast",A cliff-cradled bay below a clifftop village and old fort,true,surf|cliffs|fishing village,A cliff-cradled surf bay below a whitewashed village and ruined fort — the heart of the west-coast surf scene.,https://europebeachmap.com/beaches/praia-da-arrifana-pt/
praia-da-bordeira-pt,Praia da Bordeira,"Carrapateira, Algarve",PT,Europe,3,surf,37.187,-8.901,19,Year-round,Vast pale sand and dunes,"Cool, clear Atlantic blue",Strong currents — a surf and dune-walking beach,"Long, consistent beach-break on the wild south-west",A huge dune-and-river beach in the Costa Vicentina wild park,false,surf|dunes|wild,"A vast, wild sweep of sand and dunes on the untamed Costa Vicentina, one of the Algarve's great surf and walking beaches.",https://europebeachmap.com/beaches/praia-da-bordeira-pt/
foz-do-arelho-pt,Praia da Foz do Arelho,"Óbidos Lagoon, Leiria",PT,Europe,3,resort,39.43,-9.22,19,Jun-Sep,A huge sand tongue between lagoon and ocean,"Warm, calm lagoon on one side; cold Atlantic surf on the other","Children in the lagoon, swimmers in the sea — pick your side",Ocean-side beach-break,Where the Óbidos lagoon opens to the Atlantic,true,lagoon|two waters|family,"Two beaches in one — a warm shallow lagoon lapping one side of the sand, the cold Atlantic pounding the other.",https://europebeachmap.com/beaches/foz-do-arelho-pt/
praia-ursa-pt,Praia da Ursa,Sintra,PT,Europe,3,wild,38.788,-9.484,19,Jun–Sep,Golden,Rough Atlantic,Dangerous currents,None,Sea stacks near Europe’s westmost point,false,Hike-in|Sea stacks|Wild,"A wild, hard-won cove of sea stacks beside continental Europe’s edge.",https://europebeachmap.com/beaches/praia-ursa-pt/
zambujeira-do-mar-pt,Praia da Zambujeira do Mar,"Alentejo, Costa Vicentina",PT,Europe,3,wild,37.525,-8.79,19,Jun-Sep,Pale sand walled by dark schist cliffs,"Cold, powerful Atlantic blue",Swim close in on calm days; respect the shorebreak,Consistent Costa Vicentina beach-break,A whitewashed clifftop village on the wild Alentejo coast,true,clifftop village|alentejo|wild,"The Alentejo's cliff-walled village beach — whitewashed houses above, cold wild Atlantic below.",https://europebeachmap.com/beaches/zambujeira-do-mar-pt/
praia-de-cacela-velha-pt,Praia de Cacela Velha,"Cacela Velha, Algarve",PT,Europe,3,wild,37.1502,-7.5533,22,Jun-Sep,Bare white-gold barrier-island sand with nothing built on it,"Gin-clear jade — lagoon-warmed, the mildest sea in the Algarve",Bath-warm shallows at low tide; mind the pull in the lagoon inlet channel,None,Across the Ria Formosa from a tiny walled clifftop hamlet — wade over at low tide or take the Fábrica water-taxi,false,ria formosa|boat access|oysters,The eastern Algarve's quiet miracle — an empty barrier strand below a tiny walled hamlet.,https://europebeachmap.com/beaches/praia-de-cacela-velha-pt/
praia-de-odeceixe-pt,Praia de Odeceixe,"Aljezur, Costa Vicentina",PT,Europe,3,wild,37.4405,-8.7975,19,Jun-Sep,Golden sand where river meets sea,Calm river water beside cool surf sea,Warm calm river or bracing Atlantic surf,Good beach break on the sea side,A horseshoe river mouth framed by green cliffs,true,river mouth|costa vicentina|surf|scenic,A striking horseshoe beach at a river mouth offering calm river swimming beside the wild Atlantic surf.,https://europebeachmap.com/beaches/praia-de-odeceixe-pt/
praia-de-sao-rafael-pt,Praia de São Rafael,"Albufeira, Algarve",PT,Europe,3,tropical,37.076,-8.288,20,May-Oct,Soft golden sand,"Clear, calm turquoise","Sheltered, shallow and calm among the rocks",None,A small cove of sculpted golden rock stacks west of Albufeira,true,rock stacks|sheltered|turquoise,"A small, sheltered cove where sculpted golden rock arches and stacks rise from calm, clear water near Albufeira.",https://europebeachmap.com/beaches/praia-de-sao-rafael-pt/
praia-do-martinhal-pt,Praia do Martinhal,"Sagres, Algarve",PT,Europe,3,resort,37.019,-8.918,19,May-Oct,Fine golden sand,"Clear, sheltered blue with offshore islets","Calm and clear, family-friendly at Europe's south-west corner",Gentle waves and a windsurf spot,A sheltered family bay with rocky islets near windswept Sagres,true,family|islets|sheltered,"A sheltered, islet-dotted family bay near the wild headlands of Sagres at the very south-west corner of Europe.",https://europebeachmap.com/beaches/praia-do-martinhal-pt/
praia-do-seixal-pt,Praia do Seixal,Madeira,PT,Europe,3,exotic,32.821,-17.104,23,Year-round,Jet-black volcanic sand,"Clear deep blue, cooler",Clear but with Atlantic swell; a dramatic black-sand dip,Atlantic swell along Madeira's north coast,A black-sand beach beneath green cliffs and waterfalls on Madeira's north,false,black sand|waterfalls|volcanic,A jet-black volcanic beach beneath the green cliffs and tumbling waterfalls of Madeira's dramatic north coast.,https://europebeachmap.com/beaches/praia-do-seixal-pt/
praia-formosa-santa-maria-pt,Praia Formosa,"Santa Maria, Azores",PT,Europe,3,exotic,36.951,-25.0976,24,Jun-Sep,Genuine pale-gold sand — a rarity in the basalt-black Azores,"Clear mid-Atlantic blue, mellow through summer","Good, gently shelving summer swimming; winter storms strip the sand back to cobbles","Small summer peelers, proper winter swell","A vineyard-terraced bay on the south coast of the Azores' sunniest island, stage of the Maré de Agosto festival each August",false,azores|vineyards|festival,"The Azores' one true golden beach, tucked under vine terraces on sunny Santa Maria.",https://europebeachmap.com/beaches/praia-formosa-santa-maria-pt/
mamaia-beach-ro,Mamaia Beach,Constanța,RO,Europe,1,resort,44.255,28.62,25,Jun-Sep,Eight kilometres of fine pale sand on a lagoon-backed sandbar,Gently shelving Black Sea blue,"Warm and gentle, lifeguarded along the resort",None,Romania's flagship resort on a strip between the sea and Lake Siutghiol,false,resort|sandbar|nightlife,Romania's summer capital — a sandbar of pale sand and beach clubs squeezed between a lagoon and the Black Sea.,https://europebeachmap.com/beaches/mamaia-beach-ro/
sfantu-gheorghe-beach-ro,Sfântu Gheorghe Beach,"Danube Delta, Tulcea",RO,Europe,2,wild,44.8937,29.6209,25,Jun-Sep,"A vast flat of fine grey-gold sand and shell, still growing as the Danube dumps silt","Brackish and tea-tinted off the river mouth, clearer to the south",Shallow and warm through summer; keep clear of the current where the Danube meets the sea,None,"At the Danube's southernmost mouth — ferry from Tulcea to the road-free village, then a tractor-drawn trolley across the marsh to the sand",false,danube delta|boat only|film festival,"Where the Danube finally meets the Black Sea — a boat-only delta village with an immense, empty beach.",https://europebeachmap.com/beaches/sfantu-gheorghe-beach-ro/
